Lipid,Formula,File,Sample,pD,Summed Abundance,Condition,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84
PE 31:1,C36H70NO8P,DL_H2O_DGlycerol_2_pos,H2O_DGly_2,0.2,3.41E+08,0%-DGly,0,0,0,0,0.000047474,0.000487211,0.005881796,0.02145483,0.058731945,0.130872812,0.250083118,0.412848929,0.601716595,0.785048812,0.925747902,1,0.966076919,0.862584615,0.70257774,0.51369829,0.345021455,0.215386149,0.121102408,0.064958349,0.031104623,0.01370979,0.004655418,0.001640167,0.000407864,5.15E-05,8.31E-05,0,4.62E-05,7.48E-05,0.000115451,0.000264212,0.00035185,0.000434211,0.000396876,0.00048514,0.000487496,0.000451659,0.000320404,0.000165605,8.97E-05,5.52E-05,0,0,0,0,0,4.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28E-05,0.000546372,8.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 31:1,C36H70NO8P,DL_H2O_DGlycerol_3_pos,H2O_DGly_3,0.2,3.82E+08,0%-DGly,0,0,0,0,0,0.000399817,0.006132483,0.023073547,0.063750617,0.136149793,0.259070231,0.424810796,0.619626026,0.803329206,0.940742175,1,0.961899236,0.843562542,0.676740318,0.490042626,0.326974889,0.200505827,0.113319459,0.05824971,0.027826817,0.012211247,0.004289488,0.001449284,0.00025411,1.72E-05,0,0,2.37E-05,0,5.38E-05,7.57E-05,0.000178838,0.000287667,0.000230138,0.000320001,0.000325599,0.000245721,0.000118213,0.000161812,5.87E-05,0,1.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000124088,0.000475211,7.92E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 31:1,C36H70NO8P,DL_75D2O_Glu_1_pos,75D2O_HGlu_1,0.5,3.01E+08,75%-DGlu,0,0,0.00011553,0,4.79E-05,0,0,0,0,0,4.44E-05,0,0.00007391,0,0,0.000635056,0.001281044,0.00200852,0.003634381,0.005466878,0.006553362,0.008145931,0.008454772,0.008391937,0.008515706,0.010170264,0.014450842,0.02505825,0.044836538,0.078543024,0.12984325,0.206960129,0.311438906,0.43546312,0.570782234,0.726772538,0.850661034,0.953273023,1,0.99559601,0.922979656,0.809201857,0.666711368,0.516643554,0.376808285,0.254437927,0.166309349,0.099043442,0.054472454,0.028673054,0.014809426,0.005871143,0.00184902,0.000349597,0,0,0,0,0,0,0,0,0,0,0,2.93E-05,0.001259368,0.003259946,0.000780852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 31:1,C36H70NO8P,DL_75D2O_Glu_2_pos,75D2O_HGlu_2,0.5,5.00E+08,75%-DGlu,0,0,0,0,0,0,0,0,0,0,0.012529686,0.004606874,0.000260502,0,0,8.39E-05,0.001344128,0.00143016,0.003711763,0.005105118,0.007502685,0.008600084,0.009593109,0.009490194,0.009836934,0.010929655,0.015438845,0.026855887,0.047020934,0.079755887,0.131386597,0.212788123,0.315398292,0.437058318,0.576221572,0.724063662,0.85112566,0.952587517,1,0.991914635,0.924367829,0.807928995,0.670439815,0.51699919,0.375944156,0.256918279,0.165376492,0.099003606,0.055398819,0.029066279,0.013432697,0.005937074,0.001516787,0.000430177,0,0,0,0,0,0,0,0,0,0,0,0.000346683,0.002815286,0.006315877,0.001825181,9.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 31:1,C36H70NO8P,DL_75D2O_Glu_3_pos,75D2O_HGlu_3,0.5,2.73E+08,75%-DGlu,0,0,0,0,0,0,0,0,0,1.97E-05,0,0,0,0,0,0.000185482,0.000809439,0.001729833,0.003452265,0.005149862,0.00661556,0.008154448,0.008152188,0.008855503,0.009620447,0.011570606,0.015148002,0.02661442,0.047264289,0.081923757,0.135090766,0.211925492,0.316436648,0.446603847,0.58634562,0.732454783,0.860354541,0.958413895,1,0.982859705,0.910336181,0.796060552,0.649940256,0.498629915,0.359693022,0.246672286,0.156083863,0.095020664,0.051957852,0.027161595,0.013104624,0.005023324,0.001714108,0.000185674,0,0,0,0,0,0,0,0,0,0,0,0.000103596,0.001162756,0.002946526,0.000828357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 31:1,C36H70NO8P,DL_D2O_DGlycerol_1_pos,D2O_DGly_1,0.99,6.05E+08,100%-DGly,0,0,0,0,0,0,0,0,1.70E-05,0.000150913,0.000400096,0.00068925,0.001259241,0.001676448,0.00203624,0.002203308,0.00223374,0.001957434,0.001536666,0.001115249,0.00075093,0.000439051,0.000170628,0.000129717,1.62E-05,5.14E-06,0,0,0,0,0,0,6.33E-06,0,3.59E-05,5.69E-05,0.000183137,9.73E-05,0.000358252,0.002166823,0.006916987,0.002674908,0.000597594,2.58E-05,2.81E-05,1.28E-05,0,1.32E-05,0,0,0.000115209,0,0,8.12E-06,0,0,0,0,0,0,0,0,0.000640418,0.004104147,0.02400382,0.123770535,0.479759306,1,0.365537247,0.084476546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 31:1,C36H70NO8P,DL_D2O_DGlycerol_2_pos,D2O_DGly_2,0.99,7.58E+08,100%-DGly,0,0,0,0,0,6.29E-05,0,0,0,6.01E-05,1.53E-05,0.000107686,0.00019297,0.00027459,0.000376461,0.000450941,0.00041544,0.000346566,0.000266395,0.000215477,0.000114058,3.04E-05,7.59E-06,0,0,0,0,0,0,0,0,0,0,0,0,1.17E-05,0.000211273,0.000134625,0.000254081,0.001884648,0.006336494,0.002504807,0.000529843,1.95E-05,7.90E-06,0,0,0.000785998,0,9.21E-06,0.000171293,1.14E-05,0,8.88E-06,0,0,0,0,0,0,0,0,0.000397595,0.003123173,0.019718987,0.109060673,0.451095096,1,0.369051952,0.086544349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 31:1,C36H70NO8P,DL_D2O_DGlycerol_3_pos,D2O_DGly_3,0.99,6.78E+08,100%-DGly,0,0,0,0,0,1.10E-05,0,0,0,0,0,1.12E-05,5.18E-05,0.000069535,0.000114831,0.000291862,8.69E-05,0.000104996,0.000112265,4.95E-05,1.84E-05,0,0,2.44E-05,0,0,0,0,0,0,0,8.71E-06,8.22E-06,0,0,0.000024521,0.000233766,3.40E-05,0.0002106,0.001617072,0.005133114,0.001941396,0.000430554,1.02E-05,2.25E-05,0,0,0.000204744,0,9.53E-06,0.000105087,0,0,0,0,0,0,0,0,0,0,0,0.000316922,0.003603861,0.024605322,0.132143489,0.49925304,1,0.363947018,0.084365508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 31:0,C36H72NO8P,DL_H2O_DGlu_1_pos,H2O_DGlu_1,0.2,1.38E+06,0%-DGlu,0,0,0,0.073336536,0.187685493,0.219173832,0.162663717,0.299244338,0.325149732,0.397587893,0.456498076,0.66132229,0.757366045,0.856239056,0.980690095,1,0.82545345,0.766973775,0.557984119,0.392777271,0.252003947,0.09763694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010163982,0.014465264,0.155044031,0.219875709,0.100875968,0.279794011,0.161355881,0.168115016,0.170576131,0.074960788,0.084190513,0.005264276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 31:0,C36H72NO8P,DL_H2O_DGlu_2_pos,H2O_DGlu_2,0.2,1.53E+06,0%-DGlu,0,0,0,0.192481329,0.315975051,0.273213413,0.3256529,0.416411468,0.458881664,0.519559643,0.527884422,0.693324569,0.735133774,0.911019678,0.859227525,0.979454846,1,0.859354075,0.735669638,0.504414387,0.298762811,0.153254131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01279074,0.069127601,0,0.005795342,0.014714885,0.007635974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009177268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
